iter	Logloss
0	0.678585064
1	0.665991756
2	0.6497379936
3	0.6354105522
4	0.6240430684
5	0.6162969707
6	0.6082621282
7	0.5962606451
8	0.5865721903
9	0.5737004809
10	0.564767201
11	0.5542548356
12	0.5463344402
13	0.5374852772
14	0.5297726532
15	0.5208998423
16	0.5135561502
17	0.5065794827
18	0.4977930255
19	0.4900251787
20	0.4833233337
21	0.4782702942
22	0.4715940156
23	0.4657098401
24	0.4607587514
25	0.4561539314
26	0.4502722707
27	0.4450086778
28	0.4370867421
29	0.4305095531
30	0.4259735672
31	0.4213080728
32	0.4153462508
33	0.412052401
34	0.4063224181
35	0.4006557129
36	0.3969050593
37	0.3939624709
38	0.3897681082
39	0.3869394058
40	0.3839554308
41	0.3805520661
42	0.3758786943
43	0.3721079879
44	0.3678861689
45	0.3626977271
46	0.3589146635
47	0.3557505049
48	0.3517816437
49	0.347288449
50	0.3436024153
51	0.3415362525
52	0.3384540828
53	0.3344222129
54	0.3330592325
55	0.3291914484
56	0.3267557657
57	0.3240460895
58	0.3218824445
59	0.3196124729
60	0.3172486041
61	0.3147244003
62	0.3124635818
63	0.3104080483
64	0.307716185
65	0.3062890024
66	0.3041126768
67	0.3020315912
68	0.2999333028
69	0.2970570726
70	0.2956198842
71	0.2937590837
72	0.2920347298
73	0.2906027009
74	0.288669125
75	0.2873830628
76	0.2852866108
77	0.2840893298
78	0.2818182182
79	0.2792152551
80	0.2779807881
81	0.2760286525
82	0.2746659535
83	0.2731762962
84	0.2717051304
85	0.27014395
86	0.2689167746
87	0.2678450095
88	0.2658543182
89	0.2649508313
90	0.2638266877
91	0.2619434358
92	0.2608451507
93	0.2593388103
94	0.2578693221
95	0.256568208
96	0.2552996029
97	0.2543349911
98	0.2530203999
99	0.2516266204
100	0.2508345148
101	0.249780654
102	0.2487824145
103	0.2479323213
104	0.2468042147
105	0.2461331484
106	0.2445579158
107	0.2436212106
108	0.242730869
109	0.2415937656
110	0.2404615646
111	0.2397758363
112	0.2386172726
113	0.2377208802
114	0.2367858125
115	0.2358979267
116	0.2344853639
117	0.2336596127
118	0.2325634596
119	0.2312739367
120	0.2306949369
121	0.2298417579
122	0.2288652166
123	0.2281263027
124	0.2273700267
125	0.2266377544
126	0.2261361838
127	0.2253062444
128	0.2248826216
129	0.22400441
130	0.223378448
131	0.2227491469
132	0.222018459
133	0.221156397
134	0.2202094632
135	0.2193538166
136	0.2186611235
137	0.2168994207
138	0.2163056879
139	0.2156562532
140	0.2149980364
141	0.2145282713
142	0.213986387
143	0.2133594762
144	0.2123659966
145	0.2115489892
146	0.2110444216
147	0.2099983096
148	0.2094618222
149	0.2081419109
150	0.207666319
151	0.2071983381
152	0.2063956731
153	0.2056157843
154	0.2050509245
155	0.2044187492
156	0.2040277276
157	0.2034470401
158	0.2028540934
159	0.2022673065
160	0.2013606956
161	0.2007290454
162	0.2000872475
163	0.1992513271
164	0.1986767763
165	0.1981031346
166	0.1974466149
167	0.1970106901
168	0.196600921
169	0.1958432626
170	0.1946243272
171	0.1940176101
172	0.1936612532
173	0.1927896548
174	0.1922713717
175	0.1917280132
176	0.1913394108
177	0.1909872273
178	0.1905488657
179	0.1899230283
180	0.1891372145
181	0.1885615451
182	0.1877771305
183	0.1874176363
184	0.1859430036
185	0.1854086172
186	0.1849823739
187	0.184699359
188	0.1840049584
189	0.1835164071
190	0.1829328066
191	0.182560897
192	0.182054607
193	0.1815314137
194	0.181278648
195	0.1806092164
196	0.1801017193
197	0.1797765433
198	0.1792732737
199	0.1786882929
200	0.1780950496
201	0.1775855409
202	0.1770679238
203	0.1765135403
204	0.1761071132
205	0.1752839756
206	0.174886151
207	0.1739330005
208	0.1734043031
209	0.1728543855
210	0.1722314361
211	0.1717898369
212	0.1714222283
213	0.1710767038
214	0.1706756879
215	0.1701530132
216	0.1697858936
217	0.1693154578
218	0.1689358751
219	0.168510859
220	0.1678434303
221	0.1673762411
222	0.166595072
223	0.1663286073
224	0.1655721681
225	0.1652270478
226	0.1647850839
227	0.1642257449
228	0.1638168384
229	0.1634933121
230	0.163232885
231	0.1629945196
232	0.1623472326
233	0.1621069219
234	0.1618141805
