iter	Passed	Remaining
0	1	112
1	2	108
2	3	100
3	4	98
4	5	96
5	6	94
6	7	93
7	7	91
8	8	89
9	9	84
10	10	84
11	11	83
12	12	82
13	13	81
14	14	80
15	15	80
16	16	78
17	17	77
18	18	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	30	63
32	30	62
33	31	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	55
40	37	53
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	71	17
80	72	17
81	73	16
82	74	15
83	74	14
84	75	13
85	76	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
