country,precipitation,AvMeanSurAirTemp,AvMaxSurAirTemp,AvMinSurAirTemp,longitude,latitude,group
Congo,1644.79,24.49,29.03,19.99,15.827659,-0.228021,high incidence
Congo,1516.01,24.68,29.22,20.19,15.827659,-0.228021,high incidence
Congo,1717.96,24.76,29.3,20.26,15.827659,-0.228021,high incidence
Congo,1573.98,24.73,29.27,20.23,15.827659,-0.228021,high incidence
Congo,1507.59,24.83,29.37,20.33,15.827659,-0.228021,high incidence
Congo,1488.88,24.89,29.44,20.4,15.827659,-0.228021,high incidence
Congo,1630.7,24.85,29.39,20.35,15.827659,-0.228021,high incidence
Congo,1665.34,24.78,29.32,20.28,15.827659,-0.228021,high incidence
Congo,1779.48,24.64,29.19,20.15,15.827659,-0.228021,high incidence
Congo,1687.43,24.81,29.36,20.32,15.827659,-0.228021,high incidence
Congo,1660.55,25.09,29.63,20.59,15.827659,-0.228021,high incidence
Congo,1652.69,24.63,29.17,20.14,15.827659,-0.228021,high incidence
Congo,1619.66,24.69,29.23,20.19,15.827659,-0.228021,high incidence
Congo,1598.65,24.81,29.35,20.31,15.827659,-0.228021,high incidence
Congo,1521.31,24.77,29.31,20.27,15.827659,-0.228021,high incidence
Congo,1503.16,24.89,29.43,20.39,15.827659,-0.228021,high incidence
Congo,1736.68,25.23,29.77,20.73,15.827659,-0.228021,high incidence
Congo,1744.5,24.9,29.44,20.4,15.827659,-0.228021,high incidence
Congo,1626.57,25.05,29.59,20.55,15.827659,-0.228021,high incidence
Congo,1806.57,25.0,29.54,20.5,15.827659,-0.228021,high incidence
Congo,1734.55,25.36,29.91,20.87,15.827659,-0.228021,high incidence
Congo,1639.23,25.23,29.77,20.73,15.827659,-0.228021,high incidence
Comoros,2164.44,23.51,26.94,20.12,43.872219,-11.875001,high incidence
Comoros,2076.85,23.59,26.94,20.31,43.872219,-11.875001,high incidence
Comoros,2198.24,23.59,26.87,20.36,43.872219,-11.875001,high incidence
Comoros,1930.99,23.66,27.05,20.32,43.872219,-11.875001,high incidence
Comoros,1960.57,23.52,26.78,20.3,43.872219,-11.875001,high incidence
Comoros,2027.79,23.83,27.16,20.54,43.872219,-11.875001,high incidence
Comoros,2343.3,23.67,26.84,20.55,43.872219,-11.875001,high incidence
Comoros,1841.26,23.97,27.31,20.67,43.872219,-11.875001,high incidence
Comoros,2111.06,23.56,26.96,20.24,43.872219,-11.875001,high incidence
Comoros,1873.8,23.89,27.44,20.4,43.872219,-11.875001,high incidence
Comoros,2134.35,23.98,27.44,20.58,43.872219,-11.875001,high incidence
Comoros,2519.9,23.82,27.3,20.4,43.872219,-11.875001,high incidence
Comoros,2288.93,23.73,27.34,20.18,43.872219,-11.875001,high incidence
Comoros,1773.12,23.78,27.49,20.11,43.872219,-11.875001,high incidence
Comoros,1946.99,23.82,27.37,20.31,43.872219,-11.875001,low incidence
Comoros,2182.92,24.03,27.65,20.45,43.872219,-11.875001,low incidence
Comoros,2255.58,23.82,27.35,20.33,43.872219,-11.875001,low incidence
Comoros,2093.56,24.06,27.6,20.56,43.872219,-11.875001,low incidence
Comoros,2286.78,23.89,27.42,20.43,43.872219,-11.875001,high incidence
Comoros,1948.26,24.22,27.65,20.82,43.872219,-11.875001,high incidence
Comoros,1980.7,24.16,27.61,20.76,43.872219,-11.875001,low incidence
Comoros,1893.76,23.92,27.37,20.51,43.872219,-11.875001,high incidence
Côte d'Ivoire,1268.62,26.58,31.8,21.41,-5.54708,7.539989,high incidence
Côte d'Ivoire,1394.07,26.64,31.88,21.45,-5.54708,7.539989,high incidence
Côte d'Ivoire,1301.59,26.89,32.09,21.74,-5.54708,7.539989,high incidence
Côte d'Ivoire,1408.6,26.84,32.0,21.74,-5.54708,7.539989,high incidence
Côte d'Ivoire,1306.9,26.87,31.93,21.86,-5.54708,7.539989,high incidence
Côte d'Ivoire,1269.07,27.02,32.09,22.0,-5.54708,7.539989,high incidence
Côte d'Ivoire,1376.12,26.79,31.94,21.7,-5.54708,7.539989,high incidence
Côte d'Ivoire,1258.76,26.92,32.16,21.72,-5.54708,7.539989,high incidence
Côte d'Ivoire,1347.01,26.5,31.74,21.3,-5.54708,7.539989,high incidence
Côte d'Ivoire,1358.05,26.88,32.01,21.79,-5.54708,7.539989,high incidence
